Project;File_Path;SATD_Comment_Pre-Processed;Removal_Commit;Commit_Message_Pre-Processed;Cosine_Similarity;Change_Type;Value_In_The_Five_Level_Likert_Scale
Tomcat;java/org/apache/coyote/http2/ConnectionSettingsLocal.java;unexpect ack log todo;e3cbc6661ec5994069a8ef7f6b1f546cf0f09710;implement todo log receipt unexpect ack;0,8164965809;Method Changed;5
Tomcat;java/org/apache/coyote/http2/StreamProcessor.java;todo handl;75cd0917ae1663df84875ba7dbbac7b0ddcf3bf0;complet error handl todo;0,7071067812;Method Changed;3
Tomcat;java/org/apache/tomcat/websocket/WsSession.java;todo log;b7e8aea8ca60766ca429cb1e87c06e561f14867f;fix coupl log todo;0,7071067812;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/processor/WrapProcessor.java;todo support async rout engin;6691665fb0ee5e2cf613343062a65174b54ea496;camel polici dsl support async rout engin;0,6761234038;Method Unchanged;5
Camel;camel-core/src/main/java/org/apache/camel/processor/idempotent/IdempotentConsumer.java;todo support async rout engin;79e6d58443fcdda466c5dd0c84fa6fe15e0f524b;camel idempot consum support async rout engin;0,6761234038;Method Changed;5
Tomcat;test/org/apache/catalina/nonblocking/TestNonBlockingAPI.java;todo non block read yet implement apr;64389d04c74a7d14e37e077d0d563ebb8b45d2ba;non block servlet read apr;0,6761234038;Method Changed;5
Camel;camel-core/src/test/java/org/apache/camel/impl/EndpointRegistryKeepRouteEndpointsRemoteRouteTest.java;todo need remov endpoint remov rout;017fd45b0ac350df786db36875df38b0db7a6c12;camel endpointregistri remov endpoint longer use remov rout trick detect endpoint share therefor remov yet;0,6634888027;Method Changed;5
Tomcat;java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java;todo need send entri data;bdafdb4a1284288717746ad13db69acc003c9165;copi node need send entri data enough send node inform entri;0,6507913735;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/processor/LoopProcessor.java;todo support async rout engin;965b139b6d4bb554e0eff8c8c468a2802d5944ed;camel loop dsl now support async rout engin;0,632455532;Method Unchanged;5
Tomcat;java/org/apache/coyote/http2/Http2UpgradeHandler.java;send initi set frame todo need send non default set valu;a669c5b5dfc59dd7b2d051fa561037025c9c6c4b;switch http upgradehandl use connectionsettingsloc fix todo send non default valu initi set frame includ updat test;0,6262242911;Method Changed;4
Tomcat;java/org/apache/catalina/websocket/WsOutbound.java;todo think thread requir write current thread safe write almost certain need;bfcf09574f445d097c0b2e86f50b1c5f153d160d;make write thread safe;0,625;Method Changed;5
Tomcat;java/org/apache/coyote/http2/Http2UpgradeHandler.java;todo implement period prune close stream;9df22b49129e2f9a01c6bf2b258a970a7c53b489;implement prune old stream;0,6123724357;Method Changed;5
Tomcat;java/org/apache/tomcat/websocket/WsSession.java;todo handl wrap listen;8d7a5e75a6f297e5ad72fef17619966f113461a0;bz handl remov listen might wrap;0,6123724357;Method Changed;5
Tomcat;java/org/apache/coyote/http2/Http2Parser.java;todo never receiv server;b7730ea305a075a5b461421c8e1cf023165f886a;push promis frame never receiv server;0,6123724357;Method Changed;5
Camel;components/camel-undertow/src/test/java/org/apache/camel/component/undertow/UndertowError500Test.java;todo add unit test use dynam port number see camel jetti exampl;8e07c18c3537049962ccea7b075061c5560f03ec;camel undertow refactor unit test use dynam port;0,6123724357;Method Changed;5
Tomcat;test/org/apache/catalina/nonblocking/TestNonBlockingAPI.java;todo fake non block read yet implement bio;74a07847085ee38d8d69846d27b9e7ab6c5bc503;fake non block read bio tweak test case reli servlet api less implement detail test bio fake block pass;0,6123724357;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultThreadPoolFactory.java;need use setter set valu use constructor keep aliv maximum pool size effect schedul thread pool fix size pool unbound queue see class javadoc todo jdk setremoveoncancelpolici true;424a7ad3a58833190e4cfcff58c99349c0e2a9e3;camel add size schedul thread pool ensur schedul thread pool eat memori jdk pool unbound fix throttler delay use thread pool profil end user can custom core pool size eip;0,607338167;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/util/ObjectHelper.java;todo handl primit array type;b6a0cce2bf720e9ff511258f72f5ea220e42eb24;camel objecthelp createiter proper handl array primit type int;0,596284794;Method Changed;5
Camel;camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointTryCatchFinallyTest.java;todo tri catch final need support async rout engin;25a4392e057e5986955ae5b41c82e04047e56bb4;camel tri catch final support async rout engin one bit tougher got three thing juggl sync async mode;0,596284794;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;todo disabl now find better strategi regist rout jmx without alter rout model rout model much without jmx avoid gap caus pain get work without jmx enabl seen mani issu alreadi;cf11eb8fb4e6ca187b573513e49b58cdc361771b;camel rout now also jmx instrument time alter rout runtim rout model whether jmx enabl;0,5839571625;Method Changed;5
Tomcat;java/org/apache/catalina/core/ApplicationPushBuilder.java;todo condit;dafacd5c3b80e922e156f87cc12d672212cd52a5;servlet implement pushbuidl todo condit request;0,5773502692;Method Changed;4
Tomcat;java/org/apache/coyote/http11/InternalAprOutputBuffer.java;fixm remov;382780388028fb4c1fb02b396904d2cc599953a1;remov code mark remov;0,5773502692;Method Removal;5
Camel;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpComponent.java;configur http client url configur http client use jetti http produc henc common use;1f8183dcd6fb1f64388a986767d6c4d873439324;camel jetti produc creat new http client use httpclient xxx option configur avoid issu handl proper lifecycl client;0,5700877125;Method Changed;2
Camel;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsConfiguration.java;todo simpl @deprec remov camel upgrad spring;86142f45f6869caca6db39d1b316d39d27e8ecc0;camel upgrad spring minimum;0,5669467095;Method Changed;5
Tomcat;java/org/apache/catalina/connector/CoyoteAdapter.java;todo better way map ssl session sesison id todo request getattribut will caus number ssl attribut popul perform concern;4212880fdae4843c2609dc4c66141d60ecb15400;remov todo can see better way map ssl session id http session id one complain perform;0,5595028849;Method Unchanged;5
Tomcat;java/org/apache/tomcat/websocket/WsWebSocketContainer.java;end tck hack;7114d021e54ea2a50794dbdeed6da88e0d5f7672;remov tck hack longer access preview websocket tck;0,5477225575;Method Changed;4
