Project;File_Path;SATD_Comment;Commit_Removal;List_Of_Changes;;;;;;
Camel;camel-core/src/test/java/org/apache/camel/impl/EndpointRegistryKeepRouteEndpointsRemoteRouteTest.java;// TODO: need to remove endpoints when removing the route;017fd45b0ac350df786db36875df38b0db7a6c12;Add MethodInvocation;Remove MethodInvocation;;;;;
Camel;camel-core/src/main/java/org/apache/camel/util/URISupport.java;// The replaceAll is an ugly workaround for CAMEL-4954, awaiting a cleaner fix once CAMEL-4425 // is fully resolved in all components;0266aba78a386ce3faafdda4cffc96ab7818a3cb;Other;;;;;;
Camel;camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java;// TODO deal with errors!;02f11dd1a48cdc2ae35726c7d62877b6e041ecb5;Other;;;;;;
Camel;components/camel-jms/src/test/java/org/apache/camel/component/jms/issues/JmsInOutWithSpringRestartIssueTest.java;// TODO: Does not work properly with AMQ 5.3.1 // Thread.sleep(2000), // context.start(),;0373ce54e936ca3eb984e8824977a59cf4390143;Add MethodInvocation;Remove MethodInvocation;;;;;
Camel;camel-core/src/test/java/org/apache/camel/management/ManagedErrorHandlerOptionsTest.java;// TODO continue from here;03bdfcd3faa97bc1219d221b40f62e5af2fae0b8;Add MethodInvocation;Remove MethodInvocation;;;;;
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/jaxrs/DefaultCxfRsBinding.java;//TODO copy the message header into the inMessage;03cd924f46f0f8e6a62471e58cda294ef98b363f;Add MethodInvocation;Remove MethodInvocation;;;;;
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/DefaultCxfBinding.java;// TODO: workaround for CXF-2503;04e57c16a01ed5aba76cdd4d882d0c28d78bdb6d;Remove TryCatch;;;;;;
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/DefaultCxfBinding.java;// end of workaround;04e57c16a01ed5aba76cdd4d882d0c28d78bdb6d;Remove TryCatch;;;;;;
Camel;camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java;// TODO set the exception!;0595da505914be63fbe3299cbe9b328a2e641ad2;Modify Signature;;;;;;
Camel;components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/SpringIntegrationBinding.java;//TODO copy the message header;073a062146e15a3c21c66e3886ea28d10dc49be4;Add MethodInvocation;Modify Signature;;;;;
