Project;File_Path;SATD_Comment;Commit_Removal;Change_Type
Camel;camel-core/src/test/java/org/apache/camel/processor/ChoiceTest.java;// TODO we should replace with actual processors on each queue using a latch;006e9bba7e2d2f80daaae1173484a647a9ac8843;Method Removal
Camel;camel-core/src/test/java/org/apache/camel/impl/EndpointRegistryKeepRouteEndpointsRemoteRouteTest.java;// TODO: need to remove endpoints when removing the route;017fd45b0ac350df786db36875df38b0db7a6c12;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/processor/interceptor/Debugger.java;// TODO allow some kinda LRU based fixed size list to be used?;01ea57114024aa78add18bbb7d80630a53fec3c2;Class Removal
Camel;camel-core/src/main/java/org/apache/camel/util/URISupport.java;// The replaceAll is an ugly workaround for CAMEL-4954, awaiting a cleaner fix once CAMEL-4425 // is fully resolved in all components;0266aba78a386ce3faafdda4cffc96ab7818a3cb;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java;// TODO deal with errors!;02f11dd1a48cdc2ae35726c7d62877b6e041ecb5;Method Changed
Camel;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyRestFilter.java;// TODO: we may want to use a filter so we can reuse this for camel-servlet // to have it match the request with list of accepted paths;036f6cbb1e49e92c44d3114807e5b3b44b3e14cc;Class Removal
Camel;components/camel-jms/src/test/java/org/apache/camel/component/jms/issues/JmsInOutWithSpringRestartIssueTest.java;// TODO: Does not work properly with AMQ 5.3.1 // Thread.sleep(2000), // context.start(),;0373ce54e936ca3eb984e8824977a59cf4390143;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/queue/QueueEndpoint.java;// How can we create a specific Exchange if we are generic?? // perhaps it would be better if we did not implement this.;0376020ee24d9f0ad345e0839be4035f93aae944;Method Removal
Camel;camel-core/src/test/java/org/apache/camel/management/ManagedErrorHandlerOptionsTest.java;// TODO continue from here;03bdfcd3faa97bc1219d221b40f62e5af2fae0b8;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/jaxrs/DefaultCxfRsBinding.java;//TODO copy the message header into the inMessage;03cd924f46f0f8e6a62471e58cda294ef98b363f;Method Changed
Camel;components/camel-cdi/src/main/java/org/apache/camel/component/cdi/internal/CamelExtension.java;// TODO this is a bit of a hack - what should the bean name be?;0421c24dfcf992f3296ed746469771e3800200e3;Class Removal 
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/DefaultCxfBinding.java;// TODO: workaround for CXF-2503;04e57c16a01ed5aba76cdd4d882d0c28d78bdb6d;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/DefaultCxfBinding.java;// end of workaround;04e57c16a01ed5aba76cdd4d882d0c28d78bdb6d;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java;// TODO set the exception!;0595da505914be63fbe3299cbe9b328a2e641ad2;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java;// TODO can we share this code with other places we assert mandatory language names?;0595da505914be63fbe3299cbe9b328a2e641ad2;Method Removal
Camel;components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/SpringIntegrationBinding.java;//TODO copy the message header;073a062146e15a3c21c66e3886ea28d10dc49be4;Method Changed
Camel;components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/adapter/CamelSourceAdapter.java;// TODO How to deal with the fault message;073a062146e15a3c21c66e3886ea28d10dc49be4;Method Removal
