Project;File_Path;SATD_Comment;Commit_Removal;Is_Conditional_Change_Related_To_SATD;Category
Camel;camel-core/src/main/java/org/apache/camel/management/mbean/ManagedEndpoint.java;// TODO: get from json schema;68403097d1dbc6d2cdf00c20053e3e32c571c877;YES;ADD CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/processor/RoutingSlip.java;// TODO: Why not use indexOf and substr to find first delimiter, to skip first elemeent;6997ff4ba78fb523f925f11abc7f020dea88fe63;YES;ADD NULL_CHECK
Camel;camel-core/src/main/java/org/apache/camel/model/ProcessorDefinition.java;// onException can only be added on the route-level and not nested in splitter/policy etc // Camel 3.0 will fix this where we will have a RouteScopeDefinition where route scoped // configuration must take place, and not from this generic ProcessorDefinition;7a1c8e84b1ab669fa5f0ceed0236ee1ffae971c6;YES;REMOVE PRE_CONDITION
Camel;camel-core/src/main/java/org/apache/camel/component/file/NewFileComponent.java;// TODO: This code should be looked at, the parent stuff is might not needed;7f70df09b02c5a95b53bb9351c67ba1c750bbc15;YES;REMOVE CODE
Camel;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;// TODO: should we throw an exception instead?;80448160f0a8569def7e5476fc9036209f249cbc;YES;CHANGE CONDITIONAL EXPRESSION
Camel;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;// TODO do we need to adjust the TZ?;83139fae37e335810a6930aa34c5260bb272f5db;NO;
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;// TODO cmueller: remove the "httpClientConfigurerRef" look up in Camel 3.0;9737301babe3ce8afc49cf180a3e743c80dd80a2;YES;REMOVE CODE
Camel;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;// TODO: Use spring mail support to add the attachment;9a9e8041610ec05e9a35987ed6b748c4de341901;YES;MODIFY CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;// TODO: routes which doesnt support resume may have to leverage these callbacks;9d403b07d61dda7ee97a08f649bd1c9058d4a118;NO;
Camel;components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/adapter/CamelTargetAdapter.java;// TODO need to check the message header;a102bec6a05674027a0ddc32c26b8ac47713dbcb;YES;ADD NULL_CHECK
Camel;camel-core/src/main/java/org/apache/camel/util/component/ApiMethodParser.java;// TODO watch out, this uses default locale to convert to upper case;a38476c24af048437a8fb4ddb35b73ad5dbeb4ea;YES;ADD CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;// TODO: as the next thing is an exception I suspect this warn is useless.  TB removed. // only log WARN level for non internal Camel convertions;a4b8403f847f82880f77abdc800b192cff152dee;YES;REMOVE CODE
Camel;platforms/commands/commands-core/src/main/java/org/apache/camel/commands/ContextInfoCommand.java;// the statistics are in the mbeans // TODO: use dump stats as xml // printCamelManagedBeansStatus(camelContext, out),;a9eb716950804b3bb01d52d2ea42e38104761490;YES;ADD PRE_CONDITION
Camel;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;//TODO fix the test failure in no windows box;afbbe9d69ed64c31a10206b3d75b585658727aa0;YES;ADD PRE_CONDITION
Camel;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;//TODO fix the test failure in no windows box;afbbe9d69ed64c31a10206b3d75b585658727aa0;YES;ADD PRE_CONDITION
Camel;components/camel-redis/src/main/java/org/apache/camel/component/redis/CommandDispatcher.java;// TODO: This method is longer than maximally allowed 200 lines // CHECKSTYLE:OFF;aff019f0a7c8d708ecf856035f741b279257153e;NO;
